,playerid,first,last,season4,gspos,mpg,ppg,rpg,apg,bpg,spg,gf,dgf3,to_ast,fga3,measure,stats,stats_x,stats_y,ID1,playerName
0,8,Tommy,Amaker,1987,<Null>,35.60606060606061,12.303030303030303,2.3333333333333335,3.6363636363636362,0.09090909090909091,1.7575757575757576,0.14367816091954022,0.42718446601941745,2.111818181818182,3.121212121212121,p,1.2851862533611238,0.0,1.2851862533611238,2,Tommy Amaker
1,8,Tommy,Amaker,1987,<Null>,35.60606060606061,12.303030303030303,2.3333333333333335,3.6363636363636362,0.09090909090909091,1.7575757575757576,0.14367816091954022,0.42718446601941745,2.111818181818182,3.121212121212121,r,1.7126096276834593,1.6287885462781706,0.5292254796843404,4,Tommy Amaker
2,8,Tommy,Amaker,1987,<Null>,35.60606060606061,12.303030303030303,2.3333333333333335,3.6363636363636362,0.09090909090909091,1.7575757575757576,0.14367816091954022,0.42718446601941745,2.111818181818182,3.121212121212121,a,3.3400615762808834,-3.1765873269489964,1.032135789329568,10,Tommy Amaker
3,8,Tommy,Amaker,1987,<Null>,35.60606060606061,12.303030303030303,2.3333333333333335,3.6363636363636362,0.09090909090909091,1.7575757575757576,0.14367816091954022,0.42718446601941745,2.111818181818182,3.121212121212121,b,2.230682299479687,-1.311162158184022,-1.8046598893304528,8,Tommy Amaker
4,8,Tommy,Amaker,1987,<Null>,35.60606060606061,12.303030303030303,2.3333333333333335,3.6363636363636362,0.09090909090909091,1.7575757575757576,0.14367816091954022,0.42718446601941745,2.111818181818182,3.121212121212121,s,3.8109229729934433,2.240004321148133,-3.0831014494055946,6,Tommy Amaker
5,8,Tommy,Amaker,1987,<Null>,35.60606060606061,12.303030303030303,2.3333333333333335,3.6363636363636362,0.09090909090909091,1.7575757575757576,0.14367816091954022,0.42718446601941745,2.111818181818182,3.121212121212121,z,1.2851862533611238,0.0,1.2851862533611238,11,Tommy Amaker
6,8,Tommy,Amaker,1987,<Null>,35.60606060606061,12.303030303030303,2.3333333333333335,3.6363636363636362,0.09090909090909091,1.7575757575757576,0.14367816091954022,0.42718446601941745,2.111818181818182,3.121212121212121,g,1.5604115710771351,-0.9171869089856682,-1.2623994792207136,8,Tommy Amaker
7,8,Tommy,Amaker,1987,<Null>,35.60606060606061,12.303030303030303,2.3333333333333335,3.6363636363636362,0.09090909090909091,1.7575757575757576,0.14367816091954022,0.42718446601941745,2.111818181818182,3.121212121212121,d,3.691465714992184,-2.1697891066156956,-2.9864584975811432,8,Tommy Amaker
8,8,Tommy,Amaker,1987,<Null>,35.60606060606061,12.303030303030303,2.3333333333333335,3.6363636363636362,0.09090909090909091,1.7575757575757576,0.14367816091954022,0.42718446601941745,2.111818181818182,3.121212121212121,t,4.199761458152826,-2.468557848248564,-3.3976783919665463,8,Tommy Amaker
9,14,William,Avery,1999,<Null>,31.025641025641026,14.871794871794872,3.5128205128205128,5.0256410256410255,0.02564102564102564,1.4615384615384615,0.24519230769230768,0.41081081081081083,2.1453846153846152,4.743589743589744,p,2.8600667165532876,0.0,2.8600667165532876,2,William Avery
10,14,William,Avery,1999,<Null>,31.025641025641026,14.871794871794872,3.5128205128205128,5.0256410256410255,0.02564102564102564,1.4615384615384615,0.24519230769230768,0.41081081081081083,2.1453846153846152,4.743589743589744,r,2.3791745670253714,2.26272947537318,0.7352053737954972,4,William Avery
11,14,William,Avery,1999,<Null>,31.025641025641026,14.871794871794872,3.5128205128205128,5.0256410256410255,0.02564102564102564,1.4615384615384615,0.24519230769230768,0.41081081081081083,2.1453846153846152,4.743589743589744,a,4.6522164622414,-4.424520781630269,1.4376139483434887,10,William Avery
12,14,William,Avery,1999,<Null>,31.025641025641026,14.871794871794872,3.5128205128205128,5.0256410256410255,0.02564102564102564,1.4615384615384615,0.24519230769230768,0.41081081081081083,2.1453846153846152,4.743589743589744,b,2.1552113533042703,-1.266801449045553,-1.7436026112929837,8,William Avery
13,14,William,Avery,1999,<Null>,31.025641025641026,14.871794871794872,3.5128205128205128,5.0256410256410255,0.02564102564102564,1.4615384615384615,0.24519230769230768,0.41081081081081083,2.1453846153846152,4.743589743589744,s,3.628174336208154,2.132587367569186,-2.935254696547441,6,William Avery
14,14,William,Avery,1999,<Null>,31.025641025641026,14.871794871794872,3.5128205128205128,5.0256410256410255,0.02564102564102564,1.4615384615384615,0.24519230769230768,0.41081081081081083,2.1453846153846152,4.743589743589744,z,2.8600667165532876,0.0,2.8600667165532876,11,William Avery
15,14,William,Avery,1999,<Null>,31.025641025641026,14.871794871794872,3.5128205128205128,5.0256410256410255,0.02564102564102564,1.4615384615384615,0.24519230769230768,0.41081081081081083,2.1453846153846152,4.743589743589744,g,2.615923353488197,-1.5376011683078323,-2.116326448954254,8,William Avery
16,14,William,Avery,1999,<Null>,31.025641025641026,14.871794871794872,3.5128205128205128,5.0256410256410255,0.02564102564102564,1.4615384615384615,0.24519230769230768,0.41081081081081083,2.1453846153846152,4.743589743589744,d,3.4066934314752704,-2.0024041581028027,-2.756072880688999,8,William Avery
17,14,William,Avery,1999,<Null>,31.025641025641026,14.871794871794872,3.5128205128205128,5.0256410256410255,0.02564102564102564,1.4615384615384615,0.24519230769230768,0.41081081081081083,2.1453846153846152,4.743589743589744,t,4.251554374007824,-2.4990009603613568,-3.439579741081471,8,William Avery
18,21,Shane,Battier,2000,<Null>,35.470588235294116,17.441176470588236,5.647058823529412,2.1176470588235294,2.0588235294117645,2.0,0.34986945169712796,0.4438202247191011,1.461470588235294,5.235294117647059,p,3.0056506748444596,0.0,3.0056506748444596,2,Shane Battier
